,alpha
2013-07-24,72.87107172011989
2013-07-25,71.91213394927892
2013-07-26,69.78121812985408
2013-07-29,68.71768533605756
2013-07-30,68.16381496270736
2013-07-31,70.95557939122908
2013-08-01,69.14945484059983
2013-08-02,68.60421486974496
2013-08-05,66.01361483084143
2013-08-06,64.2550827024119
2013-08-07,65.07706213989074
2013-08-08,64.6665685923713
2013-08-09,65.09246638165072
2013-08-12,65.31458045719995
2013-08-13,64.86091658524913
2013-08-14,64.71746076004467
2013-08-15,64.159114906271
2013-08-16,63.190414685851415
2013-08-19,63.91238754142929
2013-08-20,65.01181306191535
2013-08-21,64.99566519919223
2013-08-22,64.85563291733756
2013-08-23,66.08749847946395
2013-08-26,67.06974617797142
2013-08-27,67.52645195457664
2013-08-28,68.5974829442103
2013-08-29,69.75321770029088
2013-08-30,68.79223768173841
2013-09-03,68.78235510031996
2013-09-04,68.01152300785522
2013-09-05,68.35625735162029
2013-09-06,68.24535470785217
2013-09-09,67.84318346659158
2013-09-10,67.47342208731281
2013-09-11,68.59465408504173
2013-09-12,69.4705246203669
2013-09-13,69.41796923572323
2013-09-16,68.14447193228433
2013-09-17,69.00057008502328
2013-09-18,70.10462180754033
2013-09-19,69.43675518678582
2013-09-20,70.39357108831051
2013-09-23,70.5711476894915
2013-09-24,71.44815072886757
2013-09-25,71.82128739837432
2013-09-26,71.44939316881224
2013-09-27,70.87535334476647
2013-09-30,71.29841103512769
2013-10-01,72.79317237251348
2013-10-02,72.15270182775318
2013-10-03,72.11069329612631
2013-10-04,72.19060802270796
2013-10-07,71.93083462083347
2013-10-08,69.93754501711467
2013-10-09,70.50996909833081
2013-10-10,72.37807690849698
2013-10-11,72.27688584192057
2013-10-14,73.8761403317223
2013-10-15,74.51299354900635
2013-10-16,75.38913480044103
2013-10-17,74.89300318157723
2013-10-18,74.40442555675654
2013-10-21,74.0085322865743
2013-10-22,72.06213786339562
2013-10-23,71.76106020840052
2013-10-24,70.61892310031175
2013-10-25,70.34411602446214
2013-10-28,71.47956718728508
2013-10-29,71.43724260744392
2013-10-30,72.33984167697739
2013-10-31,72.71967709492294
2013-11-01,73.77939889608805
2013-11-04,73.85398577958337
2013-11-05,74.57841171650307
2013-11-06,73.95562771051591
2013-11-07,71.39030703929042
2013-11-08,74.01873113476184
2013-11-11,73.005165965385
2013-11-12,72.87854428732484
2013-11-13,76.53681345763833
2013-11-14,78.05488077575295
2013-11-15,78.78120223770367
2013-11-18,77.74021249000256
2013-11-19,78.2130060732014
2013-11-20,78.16840718709528
2013-11-21,79.97163971291809
2013-11-22,78.59156110185748
2013-11-25,77.36737413753313
2013-11-26,77.85188424030078
2013-11-27,78.38542247711537
2013-11-29,77.72827812119536
2013-12-02,76.84457521417376
2013-12-03,76.86702697655389
2013-12-04,76.64763060784458
2013-12-05,76.45965159336053
2013-12-06,76.74344579117574
2013-12-09,76.64994212834492
2013-12-10,77.71810495831097
2013-12-11,77.44394142412736
2013-12-12,77.90057882698984
2013-12-13,77.4140382559214
2013-12-16,76.99248735427807
2013-12-17,76.78713527224973
2013-12-18,76.98955268721302
2013-12-19,77.13191966977834
2013-12-20,79.45771498088762
2013-12-23,79.9535051704455
2013-12-24,80.47324475598548
2013-12-26,81.02400772601263
2013-12-27,81.59683877019948
2013-12-30,81.9230263435982
2013-12-31,82.32423692853435
2014-01-02,83.12636038242474
2014-01-03,83.47453139834542
2014-01-06,83.55176529778801
2014-01-07,85.49430814436602
2014-01-08,82.92660456010707
2014-01-09,81.3248279697823
2014-01-10,81.71157078874165
2014-01-13,81.67610047203048
2014-01-14,83.91254224823453
2014-01-15,84.1001078610774
2014-01-16,82.87042247775352
2014-01-17,84.0057854370973
2014-01-21,84.36448942064546
2014-01-22,84.76080262977624
2014-01-23,82.38973282756281
2014-01-24,83.14067874078769
2014-01-27,84.58700633693708
2014-01-28,84.68117104913877
2014-01-29,84.47189345821506
2014-01-30,82.66476910446181
2014-01-31,83.61142348959453
2014-02-03,82.34359340113573
2014-02-04,83.66932328661716
2014-02-05,83.08789980630347
2014-02-06,84.8246211067455
2014-02-07,86.86715321424293
2014-02-10,86.84597996729522
2014-02-11,87.40816573737568
2014-02-12,86.57876148683405
2014-02-13,86.79119887233571
2014-02-14,88.91550781331627
2014-02-18,89.3841571547003
2014-02-19,89.75599912538941
2014-02-20,90.81189826983156
2014-02-21,94.90023430816598
2014-02-24,94.33969201407828
2014-02-25,93.45516744285995
2014-02-26,94.85324638847493
2014-02-27,96.25172376707117
2014-02-28,95.82401321697259
2014-03-03,98.3066165047453
2014-03-04,98.77136484590942
2014-03-05,97.74951832924592
2014-03-06,95.70283763701005
2014-03-07,95.15197018334547
2014-03-10,95.25435046374935
2014-03-11,91.32585265807727
2014-03-12,93.21191941160218
2014-03-13,89.00278817821122
2014-03-14,91.4603930955024
2014-03-17,91.94517433540295
2014-03-18,93.0747658221858
2014-03-19,90.42482700703906
2014-03-20,90.63617393594237
2014-03-21,90.54639344379608
2014-03-24,88.55042022552408
2014-03-25,87.69017057297955
2014-03-26,82.45700716108645
2014-03-27,82.68396956306718
2014-03-28,84.10049357018522
2014-03-31,86.2864021101055
2014-04-01,89.9777188132114
2014-04-02,89.8089927024722
2014-04-03,89.50011467077394
2014-04-04,88.06108380210046
2014-04-07,89.6650034650612
2014-04-08,94.6548902419242
2014-04-09,100.49893236182352
2014-04-10,96.3564932418924
2014-04-11,98.44256250524582
2014-04-14,99.06661006706105
2014-04-15,101.13037629445128
2014-04-16,102.60050403616131
2014-04-17,103.20392126925906
2014-04-21,102.87674923615266
2014-04-22,102.68762114765887
2014-04-23,104.98180482841873
2014-04-24,106.16996122581409
2014-04-25,106.11902004141207
2014-04-28,103.2188679482718
2014-04-29,106.14455042797317
2014-04-30,110.59477055339892
2014-05-01,113.13799840424133
2014-05-02,114.39150362513952
2014-05-05,114.0931030455517
2014-05-06,115.32839895384218
2014-05-07,114.16936045950236
2014-05-08,112.80223491269045
2014-05-09,112.81493234651633
2014-05-12,113.88122945491997
2014-05-13,113.76705836996503
2014-05-14,113.99449031496552
2014-05-15,114.29123717013385
2014-05-16,113.8920022025446
2014-05-19,116.74578431524807
2014-05-20,118.23419866533432
2014-05-21,119.09361219843422
2014-05-22,117.66715744747415
2014-05-23,118.03030836991812
2014-05-27,117.54895944589097
2014-05-28,117.74195873569857
2014-05-29,117.77598342974181
2014-05-30,118.82119765940595
2014-06-02,118.70828563568064
2014-06-03,118.64105751781503
2014-06-04,118.72685352638064
2014-06-05,119.93109620396645
2014-06-06,120.05022764192799
2014-06-09,119.69661967425212
2014-06-10,119.87297829974658
2014-06-11,121.10379556023199
2014-06-12,119.39131461858662
2014-06-13,118.28720020031123
2014-06-16,118.89887346214904
2014-06-17,119.74910706181282
2014-06-18,120.53918572495927
2014-06-19,120.05496935930195
2014-06-20,119.95064068980942
2014-06-23,119.89403754085394
2014-06-24,120.88426220265616
2014-06-25,121.78006929852988
2014-06-26,121.93751790372507
2014-06-27,121.32440239879176
2014-06-30,121.38339821214579
2014-07-01,120.9891184194682
2014-07-02,119.96903790643121
2014-07-03,119.34463290970575
2014-07-07,117.22022974350307
2014-07-08,118.73875062786526
2014-07-09,116.88145517458092
2014-07-10,119.6851702613363
2014-07-11,122.03153067222476
2014-07-14,122.62197986235864
2014-07-15,123.82413983573784
2014-07-16,123.25627453571293
2014-07-17,123.1349421123123
2014-07-18,123.79190380082788
2014-07-21,124.30083458072572
2014-07-22,125.54915333913566
2014-07-23,125.28883100886529
2014-07-24,125.14599257062717
2014-07-25,125.45906142914231
2014-07-28,125.86211813348532
2014-07-29,124.92349057350052
2014-07-30,124.21563346721634
2014-07-31,124.28732617152225
2014-08-01,125.22494095936953
2014-08-04,126.10704788486964
2014-08-05,125.83204783291035
2014-08-06,125.445541021
2014-08-07,126.06080176897844
2014-08-08,126.62900963811235
2014-08-11,126.1829322363136
2014-08-12,126.91848436152003
2014-08-13,126.92965690212165
2014-08-14,126.05402499966931
2014-08-15,127.6697418456553
2014-08-18,128.31333832449783
2014-08-19,128.0572357777216
2014-08-20,128.97618059458063
2014-08-21,128.87259467779282
2014-08-22,128.79060847415857
2014-08-25,129.00673932597422
2014-08-26,128.69053498818533
2014-08-27,129.0349270637684
2014-08-28,129.75718201709267
2014-08-29,130.55833579267568
2014-09-02,130.16879442895228
